[DEBUG] 2023-04-25 12:29:56,164 universitySystem.DemoMain - Sample debug message
  [INFO ] 2023-04-25 12:29:56,165 universitySystem.DemoMain - Sample info message
  [WARN ] 2023-04-25 12:29:56,165 universitySystem.DemoMain - Sample warn message
  [ERROR] 2023-04-25 12:29:56,165 universitySystem.DemoMain - Sample error message
  [FATAL] 2023-04-25 12:29:56,165 universitySystem.DemoMain - Sample fatal message
  [DEBUG] 2023-04-25 12:30:51,575 universitySystem.DemoMain - Sample debug message
[INFO ] 2023-04-25 12:30:51,577 universitySystem.DemoMain - Sample info message
[WARN ] 2023-04-25 12:30:51,577 universitySystem.DemoMain - Sample warn message
[ERROR] 2023-04-25 12:30:51,577 universitySystem.DemoMain - Sample error message
[FATAL] 2023-04-25 12:30:51,577 universitySystem.DemoMain - Sample fatal message
[INFO ] 2023-04-25 15:11:10,417 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:11:10,419 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:11:42,786 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:11:42,788 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:12:10,641 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:12:10,642 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:16:10,823 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:16:10,825 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:16:10,825 universitySystem.DemoMain - instructor returned successfully
[INFO ] 2023-04-25 15:16:26,933 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:16:26,934 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:16:26,934 universitySystem.DemoMain - instructor returned successfully
[INFO ] 2023-04-25 15:42:10,176 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:42:10,177 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:42:10,178 universitySystem.DemoMain - instructor returned successfully
[INFO ] 2023-04-25 15:43:20,477 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:43:20,479 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 15:43:20,479 universitySystem.DemoMain - instructor returned successfully
[INFO ] 2023-04-25 16:17:28,164 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 16:17:28,166 universitySystem.DemoMain - instructor added
[INFO ] 2023-04-25 16:17:28,166 universitySystem.DemoMain - instructor returned successfully
[INFO ] 2023-04-26 09:36:26,986 universitySystem.DemoMain - database connected succefully
[INFO ] 2023-04-26 09:36:26,987 universitySystem.DemoMain - instructor added
